Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Shimla","https://www.hotelswithbathtubs.com/india/shimla","HOTEL PRESTIGE The Mall Road","https://www.makemytrip.com/hotels/hotel_prestige_the_mall_road-details-shimla.html","https://www.booking.com/hotel/in/hotel-prestige-the-mall-road.html","https://www.agoda.com/hotel-prestige-the-mall-road/hotel/shimla-in.html","/assets/mmt-hotel-prestige-the-mall-road.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Shimla","https://www.hotelswithbathtubs.com/india/shimla","Hotel Willow Banks, Mall Road Shimla","https://www.makemytrip.com/hotels/hotel_willow_banks_mall_road_shimla-details-shimla.html","https://www.booking.com/hotel/in/hotel-willow-banks-mall-road-shimla.html","https://www.agoda.com/hotel-willow-banks-mall-road-shimla/hotel/shimla-in.html","/assets/mmt-hotel-willow-banks-mall-road-shimla.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Shimla","https://www.hotelswithbathtubs.com/india/shimla","Landmark Shimla - with Elevator Access to Mall road","https://www.makemytrip.com/hotels/landmark_shimla_with_elevator_access_to_mall_road-details-shimla.html","https://www.booking.com/hotel/in/landmark-shimla-with-elevator-access-to-mall-road.html","https://www.agoda.com/landmark-shimla-with-elevator-access-to-mall-road/hotel/shimla-in.html","/assets/mmt-landmark-shimla---with-elevator-access-to-mall-roa.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Shimla","https://www.hotelswithbathtubs.com/india/shimla","The Orchid Hotel","https://www.makemytrip.com/hotels/the_orchid_hotel-details-shimla.html","https://www.booking.com/hotel/in/the-orchid-hotel.html","https://www.agoda.com/the-orchid-hotel/hotel/shimla-in.html","/assets/jacuzzi-the-orchid-hotel-shimla.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Shimla","https://www.hotelswithbathtubs.com/india/shimla","dusitD2 Fagu,Shimla","https://www.makemytrip.com/hotels/dusitd2_fagu_shimla-details-shimla.html","https://www.booking.com/hotel/in/dusitd2-fagu-shimla.html","https://www.agoda.com/dusitd2-fagu-shimla/hotel/shimla-in.html","/assets/mmt-dusitd2-fagushimla.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
