Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Ambrosia Sarovar Portico","https://www.makemytrip.com/hotels/ambrosia_sarovar_portico-details-haridwar.html","https://www.booking.com/hotel/in/ambrosia-sarovar-portico.html","https://www.agoda.com/ambrosia-sarovar-portico/hotel/haridwar-in.html","/assets/ambrosia-sarovar-portico-haridwar-with-hottub-in-room.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Hotel Godwin","https://www.makemytrip.com/hotels/hotel_godwin-details-haridwar.html","https://www.booking.com/hotel/in/hotel-godwin.html","https://www.agoda.com/hotel-godwin/hotel/haridwar-in.html","/assets/hotel-godwin-haridwar-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Hotel Room Yashail Hotel","https://www.makemytrip.com/hotels/hotel_room_yashail_hotel-details-haridwar.html","https://www.booking.com/hotel/in/hotel-room-yashail-hotel.html","https://www.agoda.com/hotel-room-yashail-hotel/hotel/haridwar-in.html","/assets/spabath-hotel-room-yashail-hotel-haridwar.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Hotel Roomambrosia Sarovar Portico","https://www.makemytrip.com/hotels/hotel_roomambrosia_sarovar_portico-details-haridwar.html","https://www.booking.com/hotel/in/hotel-roomambrosia-sarovar-portico.html","https://www.agoda.com/hotel-roomambrosia-sarovar-portico/hotel/haridwar-in.html","/assets/jacuzzi-hotel-roomambrosia-sarovar-portico-haridwar.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Hotel The Reo Near Har Ke Pauri Road","https://www.makemytrip.com/hotels/hotel_the_reo_near_har_ke_pauri_road-details-haridwar.html","https://www.booking.com/hotel/in/hotel-the-reo-near-har-ke-pauri-road.html","https://www.agoda.com/hotel-the-reo-near-har-ke-pauri-road/hotel/haridwar-in.html","/assets/hotel-the-reo-near-har-ke-pauri-road-haridwar-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Pride Elite Near Railway Station","https://www.makemytrip.com/hotels/pride_elite_near_railway_station-details-haridwar.html","https://www.booking.com/hotel/in/pride-elite-near-railway-station.html","https://www.agoda.com/pride-elite-near-railway-station/hotel/haridwar-in.html","/assets/jacuzzi-room-pride-elite-haridwar-near-haridwar-railway-station.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Rio Luxury Top Rated Most Awarded Property In","https://www.makemytrip.com/hotels/rio_luxury_top_rated_most_awarded_property_in-details-haridwar.html","https://www.booking.com/hotel/in/rio-luxury-top-rated-most-awarded-property-in.html","https://www.agoda.com/rio-luxury-top-rated-most-awarded-property-in/hotel/haridwar-in.html","/assets/rio-luxury-top-rated-most-awarded-property-in-haridwar-with-bathtub.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Haridwar","https://www.hotelswithbathtubs.com/india/haridwar","Yashail Hotel","https://www.makemytrip.com/hotels/yashail_hotel-details-haridwar.html","https://www.booking.com/hotel/in/yashail-hotel.html","https://www.agoda.com/yashail-hotel/hotel/haridwar-in.html","/assets/yashail-hotel-haridwar-with-jacuzzi.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
