Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","GLAMPING CLUB","https://www.makemytrip.com/hotels/glamping_club-details-manali.html","https://www.booking.com/hotel/in/glamping-club.html","https://www.agoda.com/glamping-club/hotel/manali-in.html","/assets/mmt-glamping-club.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","Larisa Resort Manali","https://www.makemytrip.com/hotels/larisa_resort_manali-details-manali.html","https://www.booking.com/hotel/in/larisa-resort-manali.html","https://www.agoda.com/larisa-resort-manali/hotel/manali-in.html","/assets/mmt-larisa-resort-manali.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","Moustache Manali.","https://www.makemytrip.com/hotels/moustache_manali-details-manali.html","https://www.booking.com/hotel/in/moustache-manali.html","https://www.agoda.com/moustache-manali/hotel/manali-in.html","/assets/mmt-moustache-manali..webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","The Himalayan","https://www.makemytrip.com/hotels/the_himalayan-details-manali.html","https://www.booking.com/hotel/in/the-himalayan.html","https://www.agoda.com/the-himalayan/hotel/manali-in.html","/assets/mmt-the-himalayan.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","The Holiday Resorts, Cottages & Spa","https://www.makemytrip.com/hotels/the_holiday_resorts_cottages_spa-details-manali.html","https://www.booking.com/hotel/in/the-holiday-resorts-cottages-spa.html","https://www.agoda.com/the-holiday-resorts-cottages-spa/hotel/manali-in.html","/assets/mmt-the-holiday-resorts-cottages-&-spa.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","Welcomheritage Urvashis Retreat","https://www.makemytrip.com/hotels/welcomheritage_urvashis_retreat-details-manali.html","https://www.booking.com/hotel/in/welcomheritage-urvashis-retreat.html","https://www.agoda.com/welcomheritage-urvashis-retreat/hotel/manali-in.html","/assets/bathtub-welcomheritage-urvashis-retreat-manali.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"India","Manali","https://www.hotelswithbathtubs.com/india/manali","Welcomhotel By ITC Hotels Hamsa Manali","https://www.makemytrip.com/hotels/welcomhotel_by_itc_hotels_hamsa_manali-details-manali.html","https://www.booking.com/hotel/in/welcomhotel-by-itc-hotels-hamsa-manali.html","https://www.agoda.com/welcomhotel-by-itc-hotels-hamsa-manali/hotel/manali-in.html","/assets/mmt-welcomhotel-by-itc-hotels-hamsa-manali.webp","Verified Blob Storage","YES","Bathtub / Jacuzzi Suite","4.5","150","READY FOR REVIEW",""
