Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"USA","Kansas City","https://www.hotelswithbathtubs.com/usa/kansas-city","Drury Inn & Suites Kansas City Airport","https://www.booking.com/hotel/us/drury-inn-suites-kansas-city-airport.html","https://www.booking.com/hotel/us/drury-inn-suites-kansas-city-airport.html","https://www.agoda.com/drury-inn-suites-kansas-city-airport/hotel/kansas-city-us.html","https://pix8.agoda.net/hotelImages/268154/-1/e3f4439c0864eb11d13db1415dfda2bf.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"USA","Kansas City","https://www.hotelswithbathtubs.com/usa/kansas-city","Loews Kansas City Hotel","https://www.booking.com/hotel/us/loews-kansas-city-hotel.html","https://www.booking.com/hotel/us/loews-kansas-city-hotel.html","https://www.agoda.com/loews-kansas-city-hotel/hotel/kansas-city-us.html","https://pix8.agoda.net/hotelImages/61822/-1/59a68bc01d1df2623a6f9cb89c922da9.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
"USA","Kansas City","https://www.hotelswithbathtubs.com/usa/kansas-city","The Westin Kansas City at Crown Center","https://www.booking.com/hotel/us/the-westin-kansas-city-at-crown-center.html","https://www.booking.com/hotel/us/the-westin-kansas-city-at-crown-center.html","https://www.agoda.com/the-westin-kansas-city-at-crown-center/hotel/kansas-city-us.html","https://pix8.agoda.net/hotelImages/4904006/-1/88835849cbca6b6ea17ebcbda51e44ef.jpg","Agoda CDN","YES","Bathtub / Jacuzzi Suite","4.8","100+","READY FOR REVIEW",""
