Country,City,Platform City URL,Hotel Name,MakeMyTrip Link,Booking.com Link,Agoda Link,Hotel Image URL,Image Source Type,Bathtub Amenity Confirmed,Tub / Suite Type,Rating,Reviews Count,Audit Status (Pass/Fix),Reviewer Notes
"India","Gwalior","https://www.hotelswithbathtubs.com/india/gwalior","Clarks Inn Suite Gwalior","https://www.makemytrip.com/hotels/clarks_inn_suite_gwalior-details-gwalior.html","https://www.booking.com/hotel/in/clarks-inn-suite-gwalior.html","https://www.agoda.com/clarks-inn-suite-gwalior/hotel/gwalior-in.html","https://cf.bstatic.com/xdata/images/hotel/square600/907347329.webp?k=0e59df3b505674bc19dd7278a4e375c96cdb321bee161098036c1d371fd3c4b6&o=","Booking.com CDN","YES","Deep Soaking Bathtub","4.6","210","READY FOR REVIEW",""
"India","Gwalior","https://www.hotelswithbathtubs.com/india/gwalior","Neemrana's Deo Bagh, Gwalior","https://www.makemytrip.com/hotels/neemrana_s_deo_bagh-details-gwalior.html","https://www.booking.com/hotel/in/neemrana-s-deo-bagh.html","https://www.agoda.com/neemrana-s-deo-bagh/hotel/gwalior-in.html","https://pix8.agoda.net/hotelImages/268154/-1/e3f4439c0864eb11d13db1415dfda2bf.jpg","Agoda CDN","YES","Deep Heritage Soaking Bathtub","4.8","320","READY FOR REVIEW",""
"India","Gwalior","https://www.hotelswithbathtubs.com/india/gwalior","Radisson Gwalior","https://www.makemytrip.com/hotels/radisson_gwalior-details-gwalior.html","https://www.booking.com/hotel/in/radisson-gwalior.html","https://www.agoda.com/radisson-gwalior/hotel/gwalior-in.html","https://pix8.agoda.net/hotelImages/4904006/-1/88835849cbca6b6ea17ebcbda51e44ef.jpg","Agoda CDN","YES","Deep Soaking Bathtub","4.7","290","READY FOR REVIEW",""
"India","Gwalior","https://www.hotelswithbathtubs.com/india/gwalior","Taj Usha Kiran Palace","https://www.makemytrip.com/hotels/taj_usha_kiran_palace-details-gwalior.html","https://www.booking.com/hotel/in/taj-usha-kiran-palace.html","https://www.agoda.com/taj-usha-kiran-palace/hotel/gwalior-in.html","https://pix8.agoda.net/hotelImages/61822/-1/59a68bc01d1df2623a6f9cb89c922da9.jpg","Agoda CDN","YES","Vintage Clawfoot & Soaking Bathtub","4.8","380","READY FOR REVIEW",""
